town,num_transactions,avg_price,avg_price_per_sqm,min_price,max_price
CENTRAL AREA,1789,693266.0,8259.04,200000.0,1600000.0
QUEENSTOWN,6220,641766.0,7622.36,182000.0,1700000.0
BUKIT MERAH,8742,639281.0,7266.95,157000.0,1648888.0
BUKIT TIMAH,559,779891.0,7041.34,300000.0,1501555.0
KALLANG/WHAMPOA,6989,595719.0,6788.27,185000.0,1568000.0
BISHAN,3997,712676.0,6608.7,210000.0,1632000.0
TOA PAYOH,7483,575712.0,6478.35,140000.0,1600000.0
MARINE PARADE,1400,559067.0,6399.83,180000.0,1380000.0
CLEMENTI,5078,557499.0,6383.83,205000.0,1510000.0
GEYLANG,5690,511070.0,6029.19,150000.0,1375000.0
PUNGGOL,16628,545347.0,5782.16,225000.0,1470000.0
SERANGOON,4049,566959.0,5603.12,170000.0,1268000.0
ANG MO KIO,9313,483023.0,5570.71,174000.0,1500000.0
TAMPINES,15686,565653.0,5510.44,150000.0,1210000.0
SENGKANG,18642,529673.0,5418.95,196000.0,1128888.0
BUKIT BATOK,9623,505221.0,5417.1,208000.0,1180000.0
BEDOK,11918,483173.0,5351.77,180000.0,1270000.0
SEMBAWANG,6995,503842.0,5298.54,195000.0,945000.0
HOUGANG,11566,522607.0,5295.2,195000.0,1450000.0
BUKIT PANJANG,8202,503931.0,4973.12,200000.0,1180000.0
PASIR RIS,6608,587791.0,4962.68,180000.0,1260000.0
YISHUN,15599,452678.0,4939.81,190000.0,1288888.0
JURONG EAST,4654,474832.0,4904.59,200000.0,1186800.0
JURONG WEST,15087,464431.0,4634.01,175000.0,980000.0
WOODLANDS,16299,481831.0,4615.47,150000.0,1270000.0
CHOA CHU KANG,10330,491879.0,4596.0,200000.0,980000.0
