remaining_years,flat_type,num_transactions,avg_price_per_sqm,avg_price
51,1 ROOM,10,7599.64,235589.0
53,1 ROOM,12,6110.22,189417.0
55,1 ROOM,14,5693.55,176500.0
40,2 ROOM,16,6300.26,284469.0
41,2 ROOM,29,6317.43,281862.0
42,2 ROOM,40,6314.5,277122.0
43,2 ROOM,40,6080.41,275114.0
44,2 ROOM,79,6057.09,273336.0
45,2 ROOM,60,5631.09,248296.0
46,2 ROOM,65,5527.7,253501.0
47,2 ROOM,89,5367.39,239568.0
48,2 ROOM,96,5140.68,230252.0
49,2 ROOM,64,5242.04,240208.0
50,2 ROOM,58,5315.07,237569.0
51,2 ROOM,51,5883.71,271076.0
52,2 ROOM,56,5955.27,265266.0
53,2 ROOM,60,6084.16,266555.0
54,2 ROOM,51,5849.26,259780.0
55,2 ROOM,39,5730.28,255933.0
56,2 ROOM,52,5519.73,249558.0
57,2 ROOM,38,5349.38,249808.0
58,2 ROOM,57,5175.68,235470.0
59,2 ROOM,74,5859.27,267902.0
60,2 ROOM,40,5994.39,271945.0
61,2 ROOM,42,5834.86,267135.0
62,2 ROOM,20,5499.36,246140.0
63,2 ROOM,13,5480.01,253034.0
64,2 ROOM,31,4781.25,219493.0
65,2 ROOM,29,4787.37,213924.0
66,2 ROOM,16,4993.06,224688.0
67,2 ROOM,18,5334.23,250444.0
82,2 ROOM,11,6492.35,322071.0
85,2 ROOM,21,7665.4,367086.0
86,2 ROOM,51,7390.67,347515.0
87,2 ROOM,100,7602.23,355969.0
88,2 ROOM,169,7853.97,366946.0
89,2 ROOM,201,7231.92,336361.0
90,2 ROOM,206,6947.21,325405.0
91,2 ROOM,249,6680.42,309348.0
92,2 ROOM,405,7103.43,324308.0
93,2 ROOM,610,6959.2,315617.0
94,2 ROOM,1057,7190.33,323940.0
95,2 ROOM,259,6502.43,294093.0
39,3 ROOM,12,5336.13,324376.0
40,3 ROOM,95,5666.27,346745.0
41,3 ROOM,136,5673.0,348957.0
42,3 ROOM,219,5641.44,345082.0
43,3 ROOM,365,5562.92,347273.0
44,3 ROOM,484,5395.3,339107.0
45,3 ROOM,591,5218.04,331297.0
46,3 ROOM,725,5200.12,338940.0
47,3 ROOM,848,5214.67,346261.0
48,3 ROOM,1033,5234.98,340075.0
49,3 ROOM,1140,5303.05,348900.0
50,3 ROOM,1365,5360.82,357651.0
51,3 ROOM,1533,5392.1,362257.0
52,3 ROOM,1715,5441.63,369615.0
53,3 ROOM,1836,5444.44,371478.0
54,3 ROOM,2103,5299.71,362783.0
55,3 ROOM,2109,5186.91,355478.0
56,3 ROOM,2250,5074.79,349024.0
57,3 ROOM,2336,5036.76,350343.0
58,3 ROOM,2621,5152.66,359152.0
59,3 ROOM,2802,5231.2,364721.0
60,3 ROOM,2659,5157.41,357823.0
61,3 ROOM,2565,5154.37,357272.0
62,3 ROOM,2350,5024.66,347326.0
63,3 ROOM,1960,4742.43,328577.0
64,3 ROOM,1860,4506.69,312836.0
