year,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2026,2026-02,QUEENSTOWN,5 ROOM,92,DAWSON RD,19 TO 21,122.0,Premium Apartment Loft,2016,1700000.0
2026,2026-03,BUKIT MERAH,5 ROOM,9A,BOON TIONG RD,25 TO 27,112.0,Improved,2016,1648888.0
2026,2026-03,BISHAN,5 ROOM,273A,BISHAN ST 24,22 TO 24,120.0,DBSS,2011,1580000.0
2026,2026-01,CENTRAL AREA,5 ROOM,1A,CANTONMENT RD,19 TO 21,106.0,Type S2,2011,1560000.0
2026,2026-01,BISHAN,5 ROOM,275A,BISHAN ST 24,22 TO 24,120.0,DBSS,2011,1557000.0
2026,2026-03,QUEENSTOWN,5 ROOM,91,DAWSON RD,40 TO 42,99.0,Premium Apartment,2016,1550000.0
2026,2026-03,TOA PAYOH,5 ROOM,138A,LOR 1A TOA PAYOH,28 TO 30,117.0,DBSS,2012,1550000.0
2026,2026-01,BUKIT MERAH,5 ROOM,96A,HENDERSON RD,34 TO 36,113.0,Improved,2019,1530000.0
2026,2026-03,TOA PAYOH,5 ROOM,138B,LOR 1A TOA PAYOH,34 TO 36,114.0,DBSS,2012,1520000.0
2026,2026-03,TOA PAYOH,5 ROOM,138B,LOR 1A TOA PAYOH,37 TO 39,114.0,DBSS,2012,1520000.0
2025,2025-06,QUEENSTOWN,5 ROOM,92,DAWSON RD,22 TO 24,122.0,Premium Apartment Loft,2016,1658888.0
2025,2025-11,BISHAN,5 ROOM,275A,BISHAN ST 24,34 TO 36,120.0,DBSS,2011,1632000.0
2025,2025-11,BISHAN,EXECUTIVE,135,BISHAN ST 12,22 TO 24,163.0,Maisonette,1987,1600000.0
2025,2025-08,CENTRAL AREA,5 ROOM,1G,CANTONMENT RD,49 TO 51,105.0,Type S2,2011,1600000.0
2025,2025-01,TOA PAYOH,5 ROOM,138A,LOR 1A TOA PAYOH,19 TO 21,117.0,DBSS,2012,1600000.0
2025,2025-09,CENTRAL AREA,5 ROOM,1A,CANTONMENT RD,40 TO 42,107.0,Type S2,2011,1590000.0
2025,2025-07,BISHAN,EXECUTIVE,194,BISHAN ST 13,22 TO 24,163.0,Maisonette,1987,1588000.0
2025,2025-09,BUKIT MERAH,5 ROOM,9A,BOON TIONG RD,31 TO 33,112.0,Improved,2016,1580000.0
2025,2025-06,CENTRAL AREA,5 ROOM,1D,CANTONMENT RD,34 TO 36,105.0,Type S2,2011,1580000.0
2025,2025-07,CENTRAL AREA,5 ROOM,1G,CANTONMENT RD,43 TO 45,105.0,Type S2,2011,1580000.0
2024,2024-06,BUKIT MERAH,5 ROOM,9B,BOON TIONG RD,34 TO 36,112.0,Improved,2016,1588000.0
