flat_model,num_transactions,avg_price,avg_price_per_sqm,avg_floor_area
Model A,82163,522270.0,5822.7,91.5
Improved,55965,538168.0,5248.51,102.7
New Generation,27981,386861.0,4939.08,78.5
Premium Apartment,25206,569113.0,5672.79,102.1
Simplified,8768,408865.0,5189.39,79.1
Apartment,8206,718496.0,4977.36,144.4
Maisonette,6267,784784.0,5301.77,148.0
Standard,6116,439824.0,5350.2,81.3
DBSS,3666,803933.0,8393.48,95.8
Model A2,2590,423577.0,4747.19,89.4
2-room,414,360727.0,8062.8,45.1
Model A-Maisonette,398,794557.0,5638.58,140.8
Adjoined flat,388,768155.0,5381.81,142.7
Type S1,372,1076040.0,11418.59,94.3
Type S2,189,1172549.0,11052.77,106.1
Premium Apartment Loft,131,1029034.0,9785.51,107.3
Terrace,116,888148.0,8235.81,115.1
Multi Generation,85,859598.0,5345.69,161.2
3Gen,74,761063.0,6322.39,120.4
Improved-Maisonette,31,754405.0,5534.32,136.4
Premium Maisonette,20,857950.0,5535.12,157.1
