town,flat_type,resale_price,floor_area_sqm,price_per_sqm,storey_range,remaining_lease
ANG MO KIO,5 ROOM,1500000.0,120.0,12500.0,19 TO 21,85 years 03 months
ANG MO KIO,5 ROOM,1480000.0,119.0,12436.97,28 TO 30,85 years 07 months
ANG MO KIO,4 ROOM,1138888.0,93.0,12246.11,31 TO 33,92 years 07 months
ANG MO KIO,4 ROOM,1135000.0,93.0,12204.3,28 TO 30,92 years 05 months
ANG MO KIO,4 ROOM,1128888.0,93.0,12138.58,28 TO 30,93 years 03 months
ANG MO KIO,5 ROOM,1435000.0,120.0,11958.33,28 TO 30,85 years
ANG MO KIO,4 ROOM,1100000.0,93.0,11827.96,19 TO 21,92 years 07 months
ANG MO KIO,4 ROOM,1100000.0,93.0,11827.96,19 TO 21,92 years 04 months
ANG MO KIO,4 ROOM,1098000.0,93.0,11806.45,28 TO 30,93 years 01 month
ANG MO KIO,5 ROOM,1318000.0,112.0,11767.86,22 TO 24,84 years 11 months
ANG MO KIO,4 ROOM,1090000.0,93.0,11720.43,28 TO 30,92 years 05 months
ANG MO KIO,4 ROOM,1075000.0,92.0,11684.78,22 TO 24,91 years 11 months
ANG MO KIO,3 ROOM,794500.0,68.0,11683.82,25 TO 27,92 years 09 months
ANG MO KIO,4 ROOM,1050000.0,90.0,11666.67,22 TO 24,84 years 11 months
ANG MO KIO,5 ROOM,1300000.0,112.0,11607.14,16 TO 18,85 years 05 months
ANG MO KIO,5 ROOM,1300000.0,112.0,11607.14,25 TO 27,85 years 02 months
ANG MO KIO,5 ROOM,1300000.0,112.0,11607.14,28 TO 30,84 years 10 months
ANG MO KIO,4 ROOM,1078888.0,93.0,11600.95,25 TO 27,92 years 05 months
ANG MO KIO,5 ROOM,1265000.0,110.0,11500.0,25 TO 27,79 years 08 months
ANG MO KIO,4 ROOM,1068888.88,93.0,11493.43,25 TO 27,92 years 07 months
ANG MO KIO,4 ROOM,1068000.0,93.0,11483.87,13 TO 15,92 years 08 months
ANG MO KIO,5 ROOM,1370000.0,120.0,11416.67,22 TO 24,85 years
ANG MO KIO,3 ROOM,775000.0,68.0,11397.06,22 TO 24,92 years 10 months
ANG MO KIO,5 ROOM,1280000.0,113.0,11327.43,31 TO 33,91 years 11 months
ANG MO KIO,4 ROOM,1038000.0,92.0,11282.61,16 TO 18,91 years 08 months
ANG MO KIO,4 ROOM,1048888.0,93.0,11278.37,22 TO 24,93 years
ANG MO KIO,5 ROOM,1270000.0,113.0,11238.94,28 TO 30,91 years 07 months
ANG MO KIO,4 ROOM,1040888.0,93.0,11192.34,19 TO 21,91 years 07 months
ANG MO KIO,4 ROOM,1040000.0,93.0,11182.8,19 TO 21,92 years
ANG MO KIO,4 ROOM,1002888.0,90.0,11143.2,16 TO 18,84 years 10 months
ANG MO KIO,4 ROOM,1001000.0,90.0,11122.22,16 TO 18,85 years 05 months
ANG MO KIO,3 ROOM,755000.0,68.0,11102.94,19 TO 21,93 years 02 months
ANG MO KIO,4 ROOM,1030000.0,93.0,11075.27,25 TO 27,93 years 02 months
ANG MO KIO,4 ROOM,1030000.0,93.0,11075.27,16 TO 18,92 years 10 months
ANG MO KIO,3 ROOM,748000.0,68.0,11000.0,25 TO 27,92 years 10 months
ANG MO KIO,4 ROOM,1000000.0,91.0,10989.01,25 TO 27,85 years
ANG MO KIO,4 ROOM,988000.0,90.0,10977.78,22 TO 24,84 years 09 months
ANG MO KIO,3 ROOM,742000.0,68.0,10911.76,16 TO 18,93 years 02 months
ANG MO KIO,5 ROOM,1228000.0,113.0,10867.26,28 TO 30,91 years 08 months
ANG MO KIO,5 ROOM,1268800.0,117.0,10844.44,10 TO 12,85 years 06 months
ANG MO KIO,4 ROOM,1008000.0,93.0,10838.71,19 TO 21,92 years
ANG MO KIO,4 ROOM,985000.0,91.0,10824.18,19 TO 21,85 years 02 months
ANG MO KIO,4 ROOM,1038000.0,96.0,10812.5,28 TO 30,86 years 08 months
ANG MO KIO,3 ROOM,721000.0,67.0,10761.19,19 TO 21,89 years 01 month
ANG MO KIO,4 ROOM,999999.0,93.0,10752.68,13 TO 15,91 years 10 months
ANG MO KIO,3 ROOM,728000.0,68.0,10705.88,16 TO 18,92 years 07 months
ANG MO KIO,5 ROOM,1190888.0,112.0,10632.93,22 TO 24,85 years 04 months
ANG MO KIO,3 ROOM,722888.0,68.0,10630.71,13 TO 15,92 years 06 months
ANG MO KIO,4 ROOM,985000.0,93.0,10591.4,07 TO 09,93 years 03 months
ANG MO KIO,3 ROOM,740000.0,70.0,10571.43,28 TO 30,86 years 01 month
ANG MO KIO,3 ROOM,718000.0,68.0,10558.82,22 TO 24,91 years 09 months
ANG MO KIO,3 ROOM,718000.0,68.0,10558.82,28 TO 30,91 years 05 months
ANG MO KIO,4 ROOM,960000.0,91.0,10549.45,13 TO 15,84 years 11 months
ANG MO KIO,4 ROOM,980000.0,93.0,10537.63,25 TO 27,92 years 04 months
ANG MO KIO,4 ROOM,980000.0,93.0,10537.63,28 TO 30,92 years 01 month
ANG MO KIO,4 ROOM,980000.0,93.0,10537.63,19 TO 21,91 years 06 months
ANG MO KIO,5 ROOM,1180000.0,112.0,10535.71,07 TO 09,84 years 09 months
ANG MO KIO,5 ROOM,1190000.0,113.0,10530.97,07 TO 09,91 years 11 months
ANG MO KIO,4 ROOM,975000.0,93.0,10483.87,25 TO 27,91 years 06 months
ANG MO KIO,5 ROOM,1150000.0,110.0,10454.55,25 TO 27,80 years 03 months
ANG MO KIO,4 ROOM,970000.0,93.0,10430.11,04 TO 06,92 years 08 months
ANG MO KIO,4 ROOM,969000.0,93.0,10419.35,16 TO 18,91 years 07 months
ANG MO KIO,4 ROOM,965000.0,93.0,10376.34,16 TO 18,92 years
ANG MO KIO,4 ROOM,965000.0,93.0,10376.34,10 TO 12,91 years 11 months
ANG MO KIO,4 ROOM,960000.0,93.0,10322.58,19 TO 21,91 years 07 months
ANG MO KIO,3 ROOM,690000.0,67.0,10298.51,10 TO 12,89 years 02 months
ANG MO KIO,4 ROOM,956000.0,93.0,10279.57,16 TO 18,92 years 03 months
ANG MO KIO,3 ROOM,688000.0,67.0,10268.66,19 TO 21,89 years 02 months
ANG MO KIO,5 ROOM,1150000.0,112.0,10267.86,10 TO 12,85 years 08 months
ANG MO KIO,5 ROOM,1150000.0,112.0,10267.86,10 TO 12,85 years 06 months
ANG MO KIO,3 ROOM,718000.0,70.0,10257.14,19 TO 21,86 years 04 months
ANG MO KIO,4 ROOM,888000.0,87.0,10206.9,16 TO 18,86 years 07 months
ANG MO KIO,4 ROOM,865000.0,85.0,10176.47,22 TO 24,76 years 07 months
ANG MO KIO,4 ROOM,956000.0,94.0,10170.21,16 TO 18,85 years 09 months
ANG MO KIO,4 ROOM,943888.0,93.0,10149.33,07 TO 09,92 years 02 months
ANG MO KIO,4 ROOM,913000.0,90.0,10144.44,25 TO 27,76 years 07 months
ANG MO KIO,4 ROOM,920888.0,91.0,10119.65,10 TO 12,84 years 11 months
ANG MO KIO,3 ROOM,708000.0,70.0,10114.29,28 TO 30,86 years 08 months
ANG MO KIO,4 ROOM,910000.0,90.0,10111.11,22 TO 24,85 years 08 months
ANG MO KIO,4 ROOM,940000.0,93.0,10107.53,07 TO 09,91 years 06 months
ANG MO KIO,4 ROOM,908000.0,90.0,10088.89,22 TO 24,76 years 11 months
ANG MO KIO,4 ROOM,938000.0,93.0,10086.02,13 TO 15,91 years 05 months
ANG MO KIO,4 ROOM,935000.0,93.0,10053.76,04 TO 06,92 years 09 months
ANG MO KIO,3 ROOM,672000.0,67.0,10029.85,16 TO 18,89 years 11 months
ANG MO KIO,3 ROOM,700888.0,70.0,10012.69,19 TO 21,86 years 01 month
ANG MO KIO,4 ROOM,900000.0,90.0,10000.0,16 TO 18,77 years 01 month
ANG MO KIO,5 ROOM,1100000.0,110.0,10000.0,19 TO 21,79 years 10 months
ANG MO KIO,5 ROOM,1100000.0,110.0,10000.0,16 TO 18,79 years 04 months
ANG MO KIO,5 ROOM,1100000.0,110.0,10000.0,13 TO 15,79 years 05 months
ANG MO KIO,5 ROOM,1120000.0,112.0,10000.0,07 TO 09,85 years 07 months
ANG MO KIO,4 ROOM,909000.0,91.0,9989.01,19 TO 21,76 years 03 months
ANG MO KIO,4 ROOM,908000.0,91.0,9978.02,25 TO 27,76 years 06 months
ANG MO KIO,4 ROOM,966000.0,97.0,9958.76,19 TO 21,86 years 02 months
ANG MO KIO,5 ROOM,1188000.0,120.0,9900.0,10 TO 12,85 years
ANG MO KIO,4 ROOM,900888.0,91.0,9899.87,25 TO 27,76 years 11 months
ANG MO KIO,4 ROOM,920000.0,93.0,9892.47,16 TO 18,91 years 08 months
ANG MO KIO,5 ROOM,1180000.0,120.0,9833.33,04 TO 06,85 years 04 months
ANG MO KIO,5 ROOM,1110000.0,113.0,9823.01,07 TO 09,91 years 10 months
ANG MO KIO,4 ROOM,860000.0,88.0,9772.73,01 TO 03,85 years 11 months
