lease_era,flat_type,num_transactions,avg_price,avg_price_per_sqm
Mid (2000-2009),2 ROOM,95,261011.0,5680.7
Mid (2000-2009),3 ROOM,500,515985.0,8384.33
Mid (2000-2009),4 ROOM,14535,537125.0,5891.09
Mid (2000-2009),5 ROOM,16250,561390.0,5034.92
Mid (2000-2009),EXECUTIVE,3084,620910.0,4753.74
New (2010+),2 ROOM,3293,324720.0,7111.54
New (2010+),3 ROOM,11082,481171.0,7137.01
New (2010+),4 ROOM,34720,616741.0,6666.85
New (2010+),5 ROOM,12342,754281.0,6689.61
Older (1990-1999),2 ROOM,6,313333.0,5696.97
Older (1990-1999),3 ROOM,422,353097.0,5071.03
Older (1990-1999),4 ROOM,17591,484083.0,4725.76
Older (1990-1999),5 ROOM,14223,597958.0,4835.73
Older (1990-1999),EXECUTIVE,7715,753203.0,5090.38
Oldest (<1990),1 ROOM,84,213309.0,6880.93
Oldest (<1990),2 ROOM,1322,253295.0,5620.89
Oldest (<1990),3 ROOM,42565,345683.0,5061.13
Oldest (<1990),4 ROOM,30356,464386.0,4900.05
Oldest (<1990),5 ROOM,13320,626565.0,5077.85
Oldest (<1990),EXECUTIVE,5556,775743.0,5242.47
Oldest (<1990),MULTI-GENERATION,85,859598.0,5345.69
